Column1;city;time;announcment_num;floor;area;room_count;district;description;discount;price
3474;Канибадам;15.03.2022 13:32;7883970;3;55 м?;2;Хонаи2-?у?раг?дармарказиша?рк?чаи8-мартбинои15ху?раи293-этаж?афоима?озаиСиторабафур?шгузошташудааст.Хонааз55м2квадратиборатбудаверандаашроботерезаикалонмахкамкардашудаасттаъмирихонами?набароимаълумотбара?амителефон?зангзанед!??92741-48-4898-822-474700008-09-58;Хонаи 2-?у?раг? дар маркази ша?р к?чаи 8-март бинои 15 ху?раи 29 3-этаж ?афои ма?озаи Ситора ба фур?ш гузошта шудааст.Хона аз 55м2 квадрат иборат буда верандаашро бо терезаи калон махкам карда шудааст таъмири хона ми?на барои маълумот ба ра?ами телефон? занг занед!;торг;220000
3475;Душанбе;15.03.2022 13:27;6772537;11;130 м?;3;ПоворотАэропорт;Элитный дом район Поворот Аэропорт;;837000
3476;Душанбе;15.03.2022 13:27;7858884;2;84 м?;2;Пединститут;2 комнатная квартира район Пединститут;;845000
3477;Душанбе;15.03.2022 13:25;5326458;2;127 м?;2;ОриентирПаспортныйстолОВД,Сино2;Продается 2-х Комнатная квартира на 2-ом этажном доме новостройке, у дороги с собственным автопарковочным местом,;обмен,торг;1241420
3478;Душанбе;15.03.2022 13:23;7585030;2;67 м?;4;102мкр;4 хонага 2 этаж дар 102 мкр панелний дом 5 этажа, наздики институти забонхо, мактаби 89 ва садик. Бозорчахам дар наздики хаст. Отопление, оби гарм дорад. Средний ремонт. Чои мешидагиш 50.000 доллар;621500c;588000
3479;Душанбе;15.03.2022 13:05;7883800;8;80 м?;2;И.Сомони;Продаётся 2 ком. квартира в центре города, рядом с домом DeFacto. 8 этаж, 80 кв.метров. Звоните только конкретные люди.;торг;850000
3480;Душанбе;15.03.2022 12:58;7791092;4;132 м?;4;Ипподром;СРОЧНО??????Продаётся отличная?? 4х-комнатная квартира в центре на 4 этаже в новом 5 этажном доме;;1890000
3481;Душанбе;15.03.2022 12:55;7868314;1;40 м?;1;цирк;1комн кв1й этаж 4этажни дом цирк за Гимназия 4 средни ремонт отоплени есть  подвал есть можно переделат на2х комн кв;торг;275000
3482;Душанбе;15.03.2022 12:52;7729127;9;53 м?;2;ГостиницаХилтон,улицаАйни,Шохмансур;Продаётся абсолютно новая 2 х комн квартира - в одном из лучших домов города???;;798000
3483;Душанбе;15.03.2022 12:51;7724663;13;40 м?;1;Зарафшон;15 блок. 13 этаж;;135000
3484;Бохтар (Курган-Тюбе);15.03.2022 12:50;5896475;4;47 м?;2;Шабчарог;дар назди мактаби 12 богча медколедж болои бом шифир дорад бо мебелу битавой техника ба фуруш мондем;торг;310000
3485;Бустон (Чкаловск);15.03.2022 12:45;7883705;3;45 м?;1;01.май;1 ком квартира переделона на 2 ком квартира  после ремонта с вещами;торг;340000
3486;Душанбе;15.03.2022 12:45;7883733;12;98 м?;3;;хона пеши овирда лаби рохда 1кв 550долар;торг;740000
3487;Душанбе;15.03.2022 12:44;7883730;1;43 м?;2;Фирдавси;64мкр.автосентр.пеши.таксихои.кулоб.дакумент.таёор канализатсия дорад кати чизу чорааш;;235000
3488;Худжанд;15.03.2022 12:42;7156166;1;130 м?;4;19мкр;хонаи фур?ши иборат аз 4 ?у?ра 2 хона 1кум ошёна цокольний боз 2 ошёна ?а?м 130кв агарод ?ам дорад 2 дар аз ду тараф ?аст комплекс муртаз 2 хона ремонт дорад  иваз ?ам мешавад бо 4 хонаги аз 18 мкр харидори ани? занг занетон муомила мекунем.;обмен,торг;480000
3489;Душанбе;15.03.2022 12:41;7440627;2;90 м?;3;91мкр,Арбат,Сино;СРОЧНО??Продаётся 3х-комнатная квартира на 2 этаже 4 этажного советского дома.  ;;840000
3490;Душанбе;15.03.2022 12:39;7883708;13;43 м?;1;903119938;?Сохтмони навбунёди 14 ошиёна во?еъ дар Гипрозем;торг;195650
3491;Вахдат;15.03.2022 12:37;7883694;3;57 м?;2;Вахдат;хона дар шВахдат назди войнкомат доми зарди 5 этажа хона дар 3 юм этаж ремонт дорад об свет пастаяни хаст термикс хаст медрои зиндаги мекни 100% срочна срочна срочна;торг;280000
3492;Душанбе;15.03.2022 12:35;7883685;15;52 м?;2;Зарафшон;Хона дар ошёнаи 15 доми16 этажа мебошад ду лифти замонав? ремонти нав;;425000
3493;Душанбе;15.03.2022 12:32;7657174;6;89 м?;4;Зарафшон,испечак102мкр;хона да 6-7 этаж 89м2 блоки мобайн 17 эажа дом тирезохош тарафи рох чои зурай любой маршрут мегарда срочно бо арзон мешава;торг;460000
3494;Душанбе;15.03.2022 12:31;7393592;1;50 м?;2;Фирдавси;корвон лаби рох навастройка дакументо таёор;;300000
3495;Душанбе;15.03.2022 12:30;7883356;4;57 м?;2;Душанбе;Хонаи фуруши.Коробка( новостройка). Да ру ба руйи ресторани Бурак. 1 хонагира 2 хонага кардаги. 57кв.;;515000
3496;Душанбе;15.03.2022 12:30;7342281;2;55 м?;2;82мкр;"2-комн. квартира, на 2 этаже, в 4 этажном кирпичном доме, 55 м?. Квартира находится напротив клиники ""Мансурова"". Второй дом от дороги. ";торг;520000
3497;Вахдат;15.03.2022 12:26;7883618;2;76 м?;2;Vahdat;Хона дар маркази шахр дар доми Екут 2000 чойгир мебошад.;торг;300000
3498;Душанбе;15.03.2022 12:26;7883638;1;42 м?;2;Фирдавси;Автосентр .саховат.64.мкр.пеши.таксихои.кулоб дакумент таёор кати чизу.чораш;;232000
3499;Душанбе;15.03.2022 12:25;6010285;3;155 м?;6;ОриентирБизнесЦентрSAS;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 3 этаже;;1247750
3500;Душанбе;15.03.2022 12:19;7883596;2;57 м?;2;Сино;Район: Испечак 2 м14;торг;480000
3501;Душанбе;15.03.2022 12:17;7699509;9;60 м?;2;н.Шохмансур;хонаи 2 хучраги дар 9 хум ош?на сурога скорый, маълумоти бештар  бо телефон.;торг;372900
3502;Душанбе;15.03.2022 12:16;7459038;15;73 м?;2;якумСоветский;2 хонагай калон, нав бади ремонт ?ати техпаспорт,дар доми 16 этажа 15 эт 73 квадрат...Хона дар наздикий ресторани Ху?анди,бальницай  якум Советски,кухий калони трезадор,кладовка, 2 то санузел дорад.Нархи охирш ?амияй ..;;520000
3503;Душанбе;15.03.2022 12:15;7648820;7;70 м?;3;112мкр,Марказисавдо112;Продаётся абсолютно новая 3х комн.кв на 7 этаже в новом 8 этажном доме в районе 112 мкр;;899000
3504;Душанбе;15.03.2022 12:14;7734234;8;58 м?;2;Испечак;Хона техпаспорт дорад, дар 8 ошёна масо?ати 58 квадрат, хона бе ягон чиз фурухта мешавад,факат термекс, люстра?ош, ва кухоный гарнитур дорад,?ами охирон нархшай.Ма дар ?аму?а зиндаги дорм занг занен биёен бинен ,;;598000
3505;Душанбе;15.03.2022 12:14;7883556;5;54 м?;2;Испечак2м14;Район: Испечак 2 м14;торг;435000
3506;Душанбе;15.03.2022 12:13;7533767;3;56 м?;2;Военныйгородок;Свет об постоянно дора;торг;400000
3507;Душанбе;15.03.2022 12:12;6031083;6;158 м?;6;ориентирГостиницаДушанбе;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 6-этаже;;1190220
3508;Худжанд;15.03.2022 12:12;7697672;2;48 м?;2;3435;рядом с магазин Анис;торг;270000
3509;Вахдат;15.03.2022 12:04;7883503;4;58 м?;2;Вахдат;Хона дар ш Вахдат назди бозорчаи Гулистон Салимзода 24 хона бо тамоми ашё парда кухни гарнитур прахожни гарнитур колин халаделник термикс  2 тон об захира об свет пастаяна хаст ЕВРОремонт срочно срочно сроно...;торг;350000
3510;Душанбе;15.03.2022 12:03;7386830;11;105 м?;3;;Салом харидорони мухтарам ;торг;1020000
3511;Душанбе;15.03.2022 12:02;7386654;9;126 м?;3;;Салом харидорони мухтарам ;;1200000
3512;Душанбе;15.03.2022 12:00;7083245;3;65 м?;2;92мкр;Большая 2-х комнатная квартира,  92 мкр.;;700000
3513;Душанбе;15.03.2022 11:56;7883460;2;42 м?;2;Фирдавси;Автосентр саховат.64.мкр.;;215000
3514;Душанбе;15.03.2022 11:56;7751039;14;238 м?;6;УлицаЛохути;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 14 этаже,;;1570800
3515;Душанбе;15.03.2022 11:51;7883410;6;43 м?;1;Гипрозем;дом чордах этажа сохтумон дар нухум этаж рафтестай;;232000
3516;Душанбе;15.03.2022 11:50;7750981;15;140 м?;3;ОриентирВоеннаякафедраТГНУ;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 15 этаже,;;907200
3517;Душанбе;15.03.2022 11:46;7577257;6;131 м?;3;ЦУМ,НапротивДе-Факто,Шохпалас;СРОЧНО!??????Продаётся крутая? 3х-комнатная квартира в одном из самых лучших элитных домов на 6 этаже в готовом 22 этажном доме.;;1999999
3518;Душанбе;15.03.2022 11:36;7883351;4;118 м?;3;Шохмансур;Продаётся 3-х комнатная квартира, улучшенной планировки в готовом доме в центре города у главной дороги. Квартира находится на 4 этаже в ровом высокоэтажном элитном доме, у главной дороги, общей площадью 118 м2. Район с развитой инфраструктурой и хорошей транспортной развязкой. Дом готов, можно делать ремонт.;торг;966666
3519;Душанбе;15.03.2022 11:36;6030879;9;141 м?;5;ориентирБизнесЦентрSAS;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 9-этаже,;;972900
3520;Душанбе;15.03.2022 11:35;7625778;3;83 м?;3;фабрикаШирин;3ком.квартира 3этаж 7эт.дом,новостройка,83кв.м коробка,ф-ка Ширин,идут фасадные работы,дом у главной дороги,напротив центральные аптечные склады(ЦАС),рядом мост103..рядом школа37,лицей;торг;475000
3521;Душанбе;15.03.2022 11:33;5262954;3;55 м?;2;Шо?мансур,ул.С.Шарипова;Продаётся 2хкомнатная квартира в трёзэтажном доме возле аэропорта. рядом школа, детский садик, продуктовый рынок. Квартира с ремонтом. Продаётся частично с мебелью.;;417000
3522;Душанбе;15.03.2022 11:32;5976157;7;109 м?;3;ОриентирВатан;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 7 этаже;;802240
3523;Яван;15.03.2022 11:23;7627660;2;107 м?;4;ул.А.Джоми200/б;Хонаи фуруши воке дар кучаи А. Чоми. (Лесной). назди хайкали модар. иборат аз 4хучра . аз хишти пухта сохта шуда  107?метр ташкил медихад. дар 2юм ошёна.Хона худаш дуэтажай. Бисёр чои кулайдай, бозор,милиса,болница, наздикида. Хучатхои хона 100%фоиз.;торг;360000
3524;Душанбе;15.03.2022 11:22;7883279;4;44 м?;2;сино,102мкр;хона ба хама дарачохош  наздикаш хама намуд муасиса садик донишгох родом бозорча хулоса хамааш сад фоиз наздики рохи калон срочно мефурушем;обмен;480000
3525;Душанбе;15.03.2022 11:12;6100668;8;155 м?;5;ОриентирНалоговаяШохмансура;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 8-этаже,;;1069500
3526;Душанбе;15.03.2022 11:10;7883174;3;43 м?;2;хамаичизучораш;2 хонага ба хамаи шароитош об св пастаёни канализатсяи шахра срочна фурухтамшавд поёни корвон срочна;обмен,торг;356000
3527;Душанбе;15.03.2022 11:07;7720514;3;58 м?;2;Фирдавси;Район: Н.фирдавсй;;570000
3528;Душанбе;15.03.2022 10:56;7500311;12;126 м?;3;Цум,напротивДе-факто,Шохпалас;СРОЧНО!??????Продаётся крутая? 3х-комнатная квартира в одном из самых лучших элитных домов на 12 этаже в готовом 22 этажном доме.;;1587000
3529;Душанбе;15.03.2022 10:50;7440014;8;101 м?;3;Домпечати,Напротивроддома2,Центр;СРОЧНО??Продаётся 3х-комнатная квартира на 8 этаже 22 этажного дома.;;756000
3530;Душанбе;15.03.2022 10:48;7833073;15;54 м?;1;Сомони;1 ком кв на 15 эт 18 эт доме на против Кукольного театра.Кв с отличной плонировкой высокие потолки.Сдача дома через год;;340000
3531;Душанбе;15.03.2022 10:42;7599435;2;75 м?;3;Сомони;3 ком кв на 2 эт 9 эт доме за мин обороной по ул пушкина 44.Кв продается со всеми вешами со всей техникой.В доме ест городское отопление,болшой двор детская и футболная плошадка.;торг;855000
3532;Душанбе;15.03.2022 10:42;7326627;4;44 м?;2;Шохмансур;Продается 2-х комнатная квартира на 4-м этаже в доме «Ласточка» (ориентир: «Танк»). Собственник!;торг;448000
3533;Душанбе;15.03.2022 10:41;7268615;15;120 м?;3;Сино;3 ком кв на 15 эт за Барки Точик,Кв с дизайнерским идеальным ремонтом.Окна смотрят на дарогу,Возможен обмен на новую машину с доп нам.;;1130000
3534;Душанбе;15.03.2022 10:41;7699916;5;130 м?;3;И.Сомони;3 ком кв на 5 эт8 эт элитном доме за рестораном Сафо ориентир Пединститут.Кв с отличной плонировкой.;торг;1185000
3535;Душанбе;15.03.2022 10:41;7731181;1;90 м?;3;Сомони;3 ком кв на 1 эт 7 эт новом доме по ул гани аблуло за кинотеатром 8 марта.Возможен обмен на новую машину с доп нам;;595000
3536;Душанбе;15.03.2022 10:41;7115804;14;169 м?;4;ОриентирТаджикТекстильМаш;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 14 этаже;;1166100
3537;Душанбе;15.03.2022 10:41;7599467;4;145 м?;4;Сомони;4 ком кв на 4 эт 5 эт элитном новом доме на против Бонки рушд по ул пушкина 11.В доме ест городское отопление огромный двор .Кв продается со всеми вешами со всей мебелью.;;1425000
3538;Душанбе;15.03.2022 10:40;7265217;11;62 м?;2;Сино;2 ком кв на 11 эт за Барки Точик,Кв после дизайнерского ремонта,Отличная плонировка окна смотрят на дарогу.;торг;508000
3539;Душанбе;15.03.2022 10:40;7430216;4;52 м?;1;Сомони;1 ком кв переделано в 2хком на 4 эт 15 эт новом доме за Гранд отельС отличным ремонтом возможен обмен на новую машину с доп нам.Дом сдан ест техпаспорт;;540000
3540;Душанбе;15.03.2022 10:33;7784241;6;48 м?;1;112мкр;1 комн переделанное в 2-х 6 той этаж 15 этажного новостройки-48кв с ремонтом 112мкр около магазин-релакс-у дороги не долеко от месчет мехкалон;торг;400000
3541;Джалолиддина Балхи (Руми);15.03.2022 10:33;7882932;3;24 м?;1;Дж.Балхи;1хонага ремонти норма туалет баня дарунда об хаст;торг;85000
3542;Душанбе;15.03.2022 10:33;7862602;12;107 м?;3;Фирдавси;Срочный дом будтай ;;681000
3543;Душанбе;15.03.2022 10:33;7115793;15;237 м?;6;ОриентирХадамотидавлатииоташнишони;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 15 этаже;;1635300
3544;Душанбе;15.03.2022 10:32;7599515;5;50 м?;2;Испечак-1;Продаю 2ком кв 8эт 15эт элитни нови дом Испечак-1 рядом ресторан Ша?риёр очень хороши место дом у дороги паркофка 1эт магазин детская площадка скоростные лифти дополнительное паркофка вокруг дома. Дом с двумия подъезди, на одной подъезде на одном плошадке 6 квартири и ишо другие вариянти ест.;;343000
3545;Бустон (Чкаловск);15.03.2022 10:30;7680362;3;100 м?;3;;Улица Ходи Кенчаев Дом 2 (Кирова);торг;520000
3546;Бохтар (Курган-Тюбе);15.03.2022 10:29;7882945;Цокольный;40 м?;2;Ш.Бохтар;Хона дар шабчарог чойгир мебошад рохи блинчи кати доми 2б мебошад. хона люкус мебошад бо савдо мешава ай пеши мархамат.падвалай 1 этаж падвал падвал.;обмен;150000
